SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR25-01597597,Graffiti Removal Request,GRAF,,Streets and Sanitation,Completed,Mobile Device,9/2/2025 9:06,9/3/2025 10:17,9/3/2025 10:17,2011 W 35TH ST,,,,2011,W,35TH,ST,FALSE,FALSE,,,59,12,8,K030,1,09,0912,4,,9,3,9,1163451.1893878756,1881404.6230268022,41.830218,-87.675804,"(41.83021800094, -87.675804000002)"
SR25-01597596,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:06,9/2/2025 9:32,9/2/2025 9:06,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597595,Weed Removal Request,SCP,,Streets and Sanitation,Open,Mobile Device,9/2/2025 9:06,9/2/2025 9:06,,3958 W 115TH ST,,,,3958,W,115TH,ST,FALSE,FALSE,,,74,19,13,G049,1,22,2211,11,,9,3,9,1151787.3154510155,1828047.887459169,41.6840352,-87.71999501,"(41.684035202563, -87.719995013404)"
SR25-01597594,Tree Debris Clean-Up Request,SEL,311 City Services,Streets and Sanitation,Open,Phone Call,9/2/2025 9:06,9/2/2025 9:06,,7537 S HALSTED ST,Chicago,Illinois,60620,7537,S,HALSTED,ST,FALSE,FALSE,,,68,17,11,O040,2,06,0621,9,,9,3,9,1172367.0520455902,1854731.4511323632,41.756832,-87.6438765,"(41.75683200094, -87.643876500002)"
SR25-01597592,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:05,9/2/2025 9:31,9/2/2025 9:05,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597589,Abandoned Vehicle Complaint,SKA,,Streets and Sanitation,Completed,SPOTCSR,9/2/2025 9:05,9/2/2025 9:34,9/2/2025 9:34,1147 N AVERS AVE,CHICAGO,IL,60651,1147,N,AVERS,AVE,FALSE,FALSE,,,23,27,6,G020,1,11,1112,24,,9,3,9,1150521.417381529,1907578.2926872626,41.90230338,-87.72256072,"(41.902303381643, -87.722560719707)"
SR25-01597587,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:05,9/2/2025 9:32,9/2/2025 9:05,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597586,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:05,9/2/2025 9:32,9/2/2025 9:05,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597581,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:05,9/2/2025 9:32,9/2/2025 9:05,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597580,Clean Vacant Lot Request,SCT,,Streets and Sanitation,Open,Internet,9/2/2025 9:05,9/2/2025 9:05,,2650 W JACKSON BLVD,Chicago,Illinois,60612,2650,W,JACKSON,BLVD,FALSE,FALSE,,,27,28,7,J023,2,11,1125,30,,9,3,9,1158542.713119859,1898610.9661098332,41.87753574,-87.69334283,"(41.877535737976, -87.693342834601)"
